,MSE,PSNR,SSIM
h1,433.37439516601563,21.762171123211267,0.8916860395670627
h2,557.0815209716797,20.671616082119748,0.8567065017142537
h3,694.8146502929687,19.677984661903242,0.8204132204934406
h4,805.0690699707031,19.03834291480283,0.7901841314268833
h5,914.45131015625,18.48506846766321,0.7587087832102564
h6,1013.0791622558594,18.00597659787368,0.7276545552156647
h7,1109.8108917236327,17.609920596710552,0.697647881856594
h8,1195.3198738037108,17.25316941267703,0.6697464321674286
h9,1276.9725799072266,16.966195096895216,0.6427454826611001
h10,1350.2421555664062,16.68935780100213,0.6184641358140868
